date,data,cols
1990-01-01 00:00:00,9815,Bus
1990-01-01 00:00:00,45906,Hol
1990-01-01 00:00:00,30778,NSW
1990-01-01 00:00:00,2885,NSW - bus
1990-01-01 00:00:00,1201,NSW - bus - city
1990-01-01 00:00:00,1684,NSW - bus - noncity
1990-01-01 00:00:00,17589,NSW - hol
1990-01-01 00:00:00,3096,NSW - hol - city
1990-01-01 00:00:00,14493,NSW - hol - noncity
1990-01-01 00:00:00,906,NSW - oth
1990-01-01 00:00:00,396,NSW - oth - city
1990-01-01 00:00:00,510,NSW - oth - noncity
1990-01-01 00:00:00,9398,NSW - vfr
1990-01-01 00:00:00,2709,NSW - vfr - city
1990-01-01 00:00:00,6689,NSW - vfr - noncity
1990-01-01 00:00:00,483,NT
1990-01-01 00:00:00,216,NT - bus
1990-01-01 00:00:00,136,NT - bus - city
1990-01-01 00:00:00,80,NT - bus - noncity
1990-01-01 00:00:00,187,NT - hol
1990-01-01 00:00:00,101,NT - hol - city
1990-01-01 00:00:00,86,NT - hol - noncity
1990-01-01 00:00:00,43,NT - oth
1990-01-01 00:00:00,35,NT - oth - city
1990-01-01 00:00:00,8,NT - oth - noncity
1990-01-01 00:00:00,37,NT - vfr
1990-01-01 00:00:00,28,NT - vfr - city
1990-01-01 00:00:00,9,NT - vfr - noncity
1990-01-01 00:00:00,2740,Oth
1990-01-01 00:00:00,17163,QLD
1990-01-01 00:00:00,2093,QLD - bus
1990-01-01 00:00:00,1111,QLD - bus - city
1990-01-01 00:00:00,982,QLD - bus - noncity
1990-01-01 00:00:00,9078,QLD - hol
1990-01-01 00:00:00,4688,QLD - hol - city
1990-01-01 00:00:00,4390,QLD - hol - noncity
1990-01-01 00:00:00,702,QLD - oth
1990-01-01 00:00:00,431,QLD - oth - city
1990-01-01 00:00:00,271,QLD - oth - noncity
1990-01-01 00:00:00,5290,QLD - vfr
1990-01-01 00:00:00,3003,QLD - vfr - city
1990-01-01 00:00:00,2287,QLD - vfr - noncity
1990-01-01 00:00:00,6443,SA
1990-01-01 00:00:00,844,SA - bus
1990-01-01 00:00:00,388,SA - bus - city
1990-01-01 00:00:00,456,SA - bus - noncity
1990-01-01 00:00:00,3089,SA - hol
1990-01-01 00:00:00,888,SA - hol - city
1990-01-01 00:00:00,2201,SA - hol - noncity
1990-01-01 00:00:00,317,SA - oth
1990-01-01 00:00:00,244,SA - oth - city
1990-01-01 00:00:00,73,SA - oth - noncity
1990-01-01 00:00:00,2193,SA - vfr
1990-01-01 00:00:00,1324,SA - vfr - city
1990-01-01 00:00:00,869,SA - vfr - noncity
1990-01-01 00:00:00,3775,TAS
1990-01-01 00:00:00,223,TAS - bus
1990-01-01 00:00:00,116,TAS - bus - city
1990-01-01 00:00:00,107,TAS - bus - noncity
1990-01-01 00:00:00,2102,TAS - hol
1990-01-01 00:00:00,619,TAS - hol - city
1990-01-01 00:00:00,1483,TAS - hol - noncity
1990-01-01 00:00:00,100,TAS - oth
1990-01-01 00:00:00,76,TAS - oth - city
1990-01-01 00:00:00,24,TAS - oth - noncity
1990-01-01 00:00:00,1350,TAS - vfr
1990-01-01 00:00:00,602,TAS - vfr - city
1990-01-01 00:00:00,748,TAS - vfr - noncity
1990-01-01 00:00:00,84503,Total
1990-01-01 00:00:00,26042,VFR
1990-01-01 00:00:00,19020,VIC
1990-01-01 00:00:00,2148,VIC - bus
1990-01-01 00:00:00,1164,VIC - bus - city
1990-01-01 00:00:00,984,VIC - bus - noncity
1990-01-01 00:00:00,10412,VIC - hol
1990-01-01 00:00:00,2531,VIC - hol - city
1990-01-01 00:00:00,7881,VIC - hol - noncity
1990-01-01 00:00:00,467,VIC - oth
1990-01-01 00:00:00,181,VIC - oth - city
1990-01-01 00:00:00,286,VIC - oth - noncity
1990-01-01 00:00:00,5993,VIC - vfr
1990-01-01 00:00:00,2565,VIC - vfr - city
1990-01-01 00:00:00,3428,VIC - vfr - noncity
1990-01-01 00:00:00,6841,WA
1990-01-01 00:00:00,1406,WA - bus
1990-01-01 00:00:00,532,WA - bus - city
1990-01-01 00:00:00,874,WA - bus - noncity
1990-01-01 00:00:00,3449,WA - hol
1990-01-01 00:00:00,1383,WA - hol - city
1990-01-01 00:00:00,2066,WA - hol - noncity
1990-01-01 00:00:00,205,WA - oth
1990-01-01 00:00:00,168,WA - oth - city
1990-01-01 00:00:00,37,WA - oth - noncity
1990-01-01 00:00:00,1781,WA - vfr
1990-01-01 00:00:00,1019,WA - vfr - city
1990-01-01 00:00:00,762,WA - vfr - noncity
1990-02-01 00:00:00,11823,Bus
1990-02-01 00:00:00,29347,Hol
1990-02-01 00:00:00,24395,NSW
1990-02-01 00:00:00,4301,NSW - bus
1990-02-01 00:00:00,2020,NSW - bus - city
1990-02-01 00:00:00,2281,NSW - bus - noncity
1990-02-01 00:00:00,11027,NSW - hol
1990-02-01 00:00:00,1479,NSW - hol - city
1990-02-01 00:00:00,9548,NSW - hol - noncity
1990-02-01 00:00:00,1238,NSW - oth
1990-02-01 00:00:00,657,NSW - oth - city
1990-02-01 00:00:00,581,NSW - oth - noncity
1990-02-01 00:00:00,7829,NSW - vfr
1990-02-01 00:00:00,2184,NSW - vfr - city
1990-02-01 00:00:00,5645,NSW - vfr - noncity
1990-02-01 00:00:00,1431,NT
1990-02-01 00:00:00,308,NT - bus
1990-02-01 00:00:00,138,NT - bus - city
1990-02-01 00:00:00,170,NT - bus - noncity
1990-02-01 00:00:00,498,NT - hol
1990-02-01 00:00:00,201,NT - hol - city
1990-02-01 00:00:00,297,NT - hol - noncity
1990-02-01 00:00:00,108,NT - oth
1990-02-01 00:00:00,69,NT - oth - city
1990-02-01 00:00:00,39,NT - oth - noncity
1990-02-01 00:00:00,517,NT - vfr
1990-02-01 00:00:00,168,NT - vfr - city
1990-02-01 00:00:00,349,NT - vfr - noncity
1990-02-01 00:00:00,3466,Oth
1990-02-01 00:00:00,14275,QLD
1990-02-01 00:00:00,2224,QLD - bus
1990-02-01 00:00:00,776,QLD - bus - city
1990-02-01 00:00:00,1448,QLD - bus - noncity
1990-02-01 00:00:00,6310,QLD - hol
1990-02-01 00:00:00,2320,QLD - hol - city
1990-02-01 00:00:00,3990,QLD - hol - noncity
1990-02-01 00:00:00,839,QLD - oth
1990-02-01 00:00:00,669,QLD - oth - city
1990-02-01 00:00:00,170,QLD - oth - noncity
1990-02-01 00:00:00,4902,QLD - vfr
1990-02-01 00:00:00,1957,QLD - vfr - city
1990-02-01 00:00:00,2945,QLD - vfr - noncity
1990-02-01 00:00:00,4492,SA
1990-02-01 00:00:00,749,SA - bus
1990-02-01 00:00:00,346,SA - bus - city
1990-02-01 00:00:00,403,SA - bus - noncity
1990-02-01 00:00:00,1935,SA - hol
1990-02-01 00:00:00,521,SA - hol - city
1990-02-01 00:00:00,1414,SA - hol - noncity
1990-02-01 00:00:00,363,SA - oth
1990-02-01 00:00:00,142,SA - oth - city
1990-02-01 00:00:00,221,SA - oth - noncity
1990-02-01 00:00:00,1445,SA - vfr
1990-02-01 00:00:00,806,SA - vfr - city
1990-02-01 00:00:00,639,SA - vfr - noncity
1990-02-01 00:00:00,2091,TAS
1990-02-01 00:00:00,373,TAS - bus
1990-02-01 00:00:00,83,TAS - bus - city
1990-02-01 00:00:00,290,TAS - bus - noncity
1990-02-01 00:00:00,1098,TAS - hol
1990-02-01 00:00:00,409,TAS - hol - city
1990-02-01 00:00:00,689,TAS - hol - noncity
1990-02-01 00:00:00,97,TAS - oth
1990-02-01 00:00:00,36,TAS - oth - city
1990-02-01 00:00:00,61,TAS - oth - noncity
1990-02-01 00:00:00,523,TAS - vfr
1990-02-01 00:00:00,257,TAS - vfr - city
1990-02-01 00:00:00,266,TAS - vfr - noncity
1990-02-01 00:00:00,65312,Total
1990-02-01 00:00:00,20676,VFR
1990-02-01 00:00:00,12509,VIC
1990-02-01 00:00:00,1825,VIC - bus
1990-02-01 00:00:00,1014,VIC - bus - city
1990-02-01 00:00:00,811,VIC - bus - noncity
1990-02-01 00:00:00,6025,VIC - hol
1990-02-01 00:00:00,1439,VIC - hol - city
1990-02-01 00:00:00,4586,VIC - hol - noncity
1990-02-01 00:00:00,552,VIC - oth
1990-02-01 00:00:00,229,VIC - oth - city
1990-02-01 00:00:00,323,VIC - oth - noncity
1990-02-01 00:00:00,4107,VIC - vfr
1990-02-01 00:00:00,1852,VIC - vfr - city
1990-02-01 00:00:00,2255,VIC - vfr - noncity
1990-02-01 00:00:00,6119,WA
1990-02-01 00:00:00,2043,WA - bus
1990-02-01 00:00:00,356,WA - bus - city
1990-02-01 00:00:00,1687,WA - bus - noncity
1990-02-01 00:00:00,2454,WA - hol
1990-02-01 00:00:00,1059,WA - hol - city
1990-02-01 00:00:00,1395,WA - hol - noncity
1990-02-01 00:00:00,269,WA - oth
1990-02-01 00:00:00,170,WA - oth - city
1990-02-01 00:00:00,99,WA - oth - noncity
1990-02-01 00:00:00,1353,WA - vfr
1990-02-01 00:00:00,750,WA - vfr - city
1990-02-01 00:00:00,603,WA - vfr - noncity
1990-03-01 00:00:00,13565,Bus
1990-03-01 00:00:00,32492,Hol
1990-03-01 00:00:00,21713,NSW
1990-03-01 00:00:00,4093,NSW - bus
1990-03-01 00:00:00,1975,NSW - bus - city
1990-03-01 00:00:00,2118,NSW - bus - noncity
1990-03-01 00:00:00,8910,NSW - hol
1990-03-01 00:00:00,1609,NSW - hol - city
1990-03-01 00:00:00,7301,NSW - hol - noncity
1990-03-01 00:00:00,1433,NSW - oth
1990-03-01 00:00:00,540,NSW - oth - city
1990-03-01 00:00:00,893,NSW - oth - noncity
1990-03-01 00:00:00,7277,NSW - vfr
1990-03-01 00:00:00,2225,NSW - vfr - city
1990-03-01 00:00:00,5052,NSW - vfr - noncity
1990-03-01 00:00:00,3862,NT
1990-03-01 00:00:00,1536,NT - bus
1990-03-01 00:00:00,452,NT - bus - city
1990-03-01 00:00:00,1084,NT - bus - noncity
1990-03-01 00:00:00,1364,NT - hol
1990-03-01 00:00:00,619,NT - hol - city
1990-03-01 00:00:00,745,NT - hol - noncity
1990-03-01 00:00:00,488,NT - oth
1990-03-01 00:00:00,150,NT - oth - city
1990-03-01 00:00:00,338,NT - oth - noncity
1990-03-01 00:00:00,474,NT - vfr
1990-03-01 00:00:00,390,NT - vfr - city
1990-03-01 00:00:00,84,NT - vfr - noncity
1990-03-01 00:00:00,6114,Oth
1990-03-01 00:00:00,22035,QLD
1990-03-01 00:00:00,3379,QLD - bus
1990-03-01 00:00:00,1079,QLD - bus - city
1990-03-01 00:00:00,2300,QLD - bus - noncity
1990-03-01 00:00:00,11733,QLD - hol
1990-03-01 00:00:00,4758,QLD - hol - city
1990-03-01 00:00:00,6975,QLD - hol - noncity
1990-03-01 00:00:00,1434,QLD - oth
1990-03-01 00:00:00,270,QLD - oth - city
1990-03-01 00:00:00,1164,QLD - oth - noncity
1990-03-01 00:00:00,5489,QLD - vfr
1990-03-01 00:00:00,2619,QLD - vfr - city
1990-03-01 00:00:00,2870,QLD - vfr - noncity
1990-03-01 00:00:00,4484,SA
1990-03-01 00:00:00,750,SA - bus
1990-03-01 00:00:00,390,SA - bus - city
1990-03-01 00:00:00,360,SA - bus - noncity
1990-03-01 00:00:00,1569,SA - hol
1990-03-01 00:00:00,476,SA - hol - city
1990-03-01 00:00:00,1093,SA - hol - noncity
1990-03-01 00:00:00,712,SA - oth
1990-03-01 00:00:00,397,SA - oth - city
1990-03-01 00:00:00,315,SA - oth - noncity
1990-03-01 00:00:00,1453,SA - vfr
1990-03-01 00:00:00,1078,SA - vfr - city
1990-03-01 00:00:00,375,SA - vfr - noncity
1990-03-01 00:00:00,1207,TAS
1990-03-01 00:00:00,303,TAS - bus
1990-03-01 00:00:00,196,TAS - bus - city
1990-03-01 00:00:00,107,TAS - bus - noncity
1990-03-01 00:00:00,458,TAS - hol
1990-03-01 00:00:00,127,TAS - hol - city
1990-03-01 00:00:00,331,TAS - hol - noncity
1990-03-01 00:00:00,55,TAS - oth
1990-03-01 00:00:00,32,TAS - oth - city
1990-03-01 00:00:00,23,TAS - oth - noncity
1990-03-01 00:00:00,391,TAS - vfr
1990-03-01 00:00:00,130,TAS - vfr - city
