date,data,cols
1961-01-01 00:00:00,26.43,Brazilian Temperature
1962-01-01 00:00:00,26.3,Brazilian Temperature
1963-01-01 00:00:00,26.25,Brazilian Temperature
1964-01-01 00:00:00,25.7,Brazilian Temperature
1965-01-01 00:00:00,999.9,Brazilian Temperature
1966-01-01 00:00:00,999.9,Brazilian Temperature
1967-01-01 00:00:00,26.55,Brazilian Temperature
1968-01-01 00:00:00,25.99,Brazilian Temperature
1969-01-01 00:00:00,26.64,Brazilian Temperature
1970-01-01 00:00:00,26.7,Brazilian Temperature
1971-01-01 00:00:00,26.44,Brazilian Temperature
1972-01-01 00:00:00,25.95,Brazilian Temperature
1973-01-01 00:00:00,26.91,Brazilian Temperature
1974-01-01 00:00:00,999.9,Brazilian Temperature
1975-01-01 00:00:00,999.9,Brazilian Temperature
1976-01-01 00:00:00,26.31,Brazilian Temperature
1977-01-01 00:00:00,26.05,Brazilian Temperature
1978-01-01 00:00:00,26.8,Brazilian Temperature
1979-01-01 00:00:00,27.08,Brazilian Temperature
1980-01-01 00:00:00,26.89,Brazilian Temperature
1981-01-01 00:00:00,999.9,Brazilian Temperature
1982-01-01 00:00:00,26.6,Brazilian Temperature
1983-01-01 00:00:00,999.9,Brazilian Temperature
1984-01-01 00:00:00,999.9,Brazilian Temperature
1985-01-01 00:00:00,999.9,Brazilian Temperature
1986-01-01 00:00:00,999.9,Brazilian Temperature
1987-01-01 00:00:00,26.81,Brazilian Temperature
1988-01-01 00:00:00,27.03,Brazilian Temperature
1989-01-01 00:00:00,26.64,Brazilian Temperature
1990-01-01 00:00:00,27.26,Brazilian Temperature
1991-01-01 00:00:00,26.47,Brazilian Temperature
1992-01-01 00:00:00,999.9,Brazilian Temperature
1993-01-01 00:00:00,999.9,Brazilian Temperature
1994-01-01 00:00:00,999.9,Brazilian Temperature
1995-01-01 00:00:00,999.9,Brazilian Temperature
1996-01-01 00:00:00,999.9,Brazilian Temperature
1997-01-01 00:00:00,26.53,Brazilian Temperature
1998-01-01 00:00:00,28.03,Brazilian Temperature
1999-01-01 00:00:00,27.42,Brazilian Temperature
2000-01-01 00:00:00,27.31,Brazilian Temperature
2001-01-01 00:00:00,26.61,Brazilian Temperature
2002-01-01 00:00:00,27.2,Brazilian Temperature
2003-01-01 00:00:00,999.9,Brazilian Temperature
2004-01-01 00:00:00,27.66,Brazilian Temperature
2005-01-01 00:00:00,28.2,Brazilian Temperature
2006-01-01 00:00:00,27.95,Brazilian Temperature
2007-01-01 00:00:00,999.9,Brazilian Temperature
2008-01-01 00:00:00,25.96,Brazilian Temperature
2009-01-01 00:00:00,28.6,Brazilian Temperature
2010-01-01 00:00:00,27.65,Brazilian Temperature
2011-01-01 00:00:00,999.9,Brazilian Temperature
2012-01-01 00:00:00,27.74,Brazilian Temperature
2013-01-01 00:00:00,28.28,Brazilian Temperature
2014-01-01 00:00:00,27.87,Brazilian Temperature
2015-01-01 00:00:00,27.82,Brazilian Temperature
2016-01-01 00:00:00,999.9,Brazilian Temperature
2017-01-01 00:00:00,27.51,Brazilian Temperature
2018-01-01 00:00:00,27.86,Brazilian Temperature
2019-01-01 00:00:00,27.6,Brazilian Temperature
1961-02-01 00:00:00,25.53,Brazilian Temperature
1962-02-01 00:00:00,26.06,Brazilian Temperature
1963-02-01 00:00:00,26.03,Brazilian Temperature
1964-02-01 00:00:00,25.52,Brazilian Temperature
1965-02-01 00:00:00,999.9,Brazilian Temperature
1966-02-01 00:00:00,999.9,Brazilian Temperature
1967-02-01 00:00:00,25.99,Brazilian Temperature
1968-02-01 00:00:00,999.9,Brazilian Temperature
1969-02-01 00:00:00,27.11,Brazilian Temperature
1970-02-01 00:00:00,26.99,Brazilian Temperature
1971-02-01 00:00:00,26.03,Brazilian Temperature
1972-02-01 00:00:00,25.75,Brazilian Temperature
1973-02-01 00:00:00,26.74,Brazilian Temperature
1974-02-01 00:00:00,999.9,Brazilian Temperature
1975-02-01 00:00:00,999.9,Brazilian Temperature
1976-02-01 00:00:00,26.11,Brazilian Temperature
1977-02-01 00:00:00,25.71,Brazilian Temperature
1978-02-01 00:00:00,27.41,Brazilian Temperature
1979-02-01 00:00:00,999.9,Brazilian Temperature
1980-02-01 00:00:00,25.82,Brazilian Temperature
1981-02-01 00:00:00,26.28,Brazilian Temperature
1982-02-01 00:00:00,26.76,Brazilian Temperature
1983-02-01 00:00:00,999.9,Brazilian Temperature
1984-02-01 00:00:00,999.9,Brazilian Temperature
1985-02-01 00:00:00,999.9,Brazilian Temperature
1986-02-01 00:00:00,999.9,Brazilian Temperature
1987-02-01 00:00:00,26.81,Brazilian Temperature
1988-02-01 00:00:00,27.33,Brazilian Temperature
1989-02-01 00:00:00,26.74,Brazilian Temperature
1990-02-01 00:00:00,26.56,Brazilian Temperature
1991-02-01 00:00:00,26.97,Brazilian Temperature
1992-02-01 00:00:00,999.9,Brazilian Temperature
1993-02-01 00:00:00,999.9,Brazilian Temperature
1994-02-01 00:00:00,999.9,Brazilian Temperature
1995-02-01 00:00:00,999.9,Brazilian Temperature
1996-02-01 00:00:00,999.9,Brazilian Temperature
1997-02-01 00:00:00,26.83,Brazilian Temperature
1998-02-01 00:00:00,28.03,Brazilian Temperature
1999-02-01 00:00:00,27.92,Brazilian Temperature
2000-02-01 00:00:00,26.71,Brazilian Temperature
2001-02-01 00:00:00,26.41,Brazilian Temperature
2002-02-01 00:00:00,27.8,Brazilian Temperature
2003-02-01 00:00:00,27.21,Brazilian Temperature
2004-02-01 00:00:00,26.76,Brazilian Temperature
