date,data,cols
1910-01-01 00:00:00,27.29,Brazilian Temperature
1911-01-01 00:00:00,26.99,Brazilian Temperature
1912-01-01 00:00:00,28.99,Brazilian Temperature
1913-01-01 00:00:00,27.19,Brazilian Temperature
1914-01-01 00:00:00,28.79,Brazilian Temperature
1915-01-01 00:00:00,27.99,Brazilian Temperature
1916-01-01 00:00:00,26.99,Brazilian Temperature
1917-01-01 00:00:00,26.69,Brazilian Temperature
1918-01-01 00:00:00,25.99,Brazilian Temperature
1919-01-01 00:00:00,27.19,Brazilian Temperature
1920-01-01 00:00:00,26.99,Brazilian Temperature
1921-01-01 00:00:00,26.59,Brazilian Temperature
1922-01-01 00:00:00,26.69,Brazilian Temperature
1923-01-01 00:00:00,25.69,Brazilian Temperature
1924-01-01 00:00:00,27.89,Brazilian Temperature
1925-01-01 00:00:00,26.29,Brazilian Temperature
1926-01-01 00:00:00,27.49,Brazilian Temperature
1927-01-01 00:00:00,25.99,Brazilian Temperature
1928-01-01 00:00:00,26.39,Brazilian Temperature
1929-01-01 00:00:00,26.39,Brazilian Temperature
1930-01-01 00:00:00,25.79,Brazilian Temperature
1931-01-01 00:00:00,27.29,Brazilian Temperature
1932-01-01 00:00:00,26.74,Brazilian Temperature
1933-01-01 00:00:00,27.06,Brazilian Temperature
1934-01-01 00:00:00,25.9,Brazilian Temperature
1935-01-01 00:00:00,27.19,Brazilian Temperature
1936-01-01 00:00:00,26.44,Brazilian Temperature
1937-01-01 00:00:00,26.83,Brazilian Temperature
1938-01-01 00:00:00,26.77,Brazilian Temperature
1939-01-01 00:00:00,26.56,Brazilian Temperature
1940-01-01 00:00:00,26.96,Brazilian Temperature
1941-01-01 00:00:00,27.02,Brazilian Temperature
1942-01-01 00:00:00,27.56,Brazilian Temperature
1943-01-01 00:00:00,26.86,Brazilian Temperature
1944-01-01 00:00:00,26.75,Brazilian Temperature
1945-01-01 00:00:00,27.24,Brazilian Temperature
1946-01-01 00:00:00,26.38,Brazilian Temperature
1947-01-01 00:00:00,26.68,Brazilian Temperature
1948-01-01 00:00:00,26.87,Brazilian Temperature
1949-01-01 00:00:00,26.66,Brazilian Temperature
1950-01-01 00:00:00,26.7,Brazilian Temperature
1951-01-01 00:00:00,27.1,Brazilian Temperature
1952-01-01 00:00:00,27.29,Brazilian Temperature
1953-01-01 00:00:00,27.4,Brazilian Temperature
1954-01-01 00:00:00,27.39,Brazilian Temperature
1955-01-01 00:00:00,27.04,Brazilian Temperature
1956-01-01 00:00:00,27.03,Brazilian Temperature
1957-01-01 00:00:00,25.87,Brazilian Temperature
1958-01-01 00:00:00,999.9,Brazilian Temperature
1959-01-01 00:00:00,26.89,Brazilian Temperature
1960-01-01 00:00:00,999.9,Brazilian Temperature
1961-01-01 00:00:00,26.92,Brazilian Temperature
1962-01-01 00:00:00,27.03,Brazilian Temperature
1963-01-01 00:00:00,26.73,Brazilian Temperature
1964-01-01 00:00:00,28.01,Brazilian Temperature
1965-01-01 00:00:00,27.01,Brazilian Temperature
1966-01-01 00:00:00,27.4,Brazilian Temperature
1967-01-01 00:00:00,26.53,Brazilian Temperature
1968-01-01 00:00:00,26.89,Brazilian Temperature
1969-01-01 00:00:00,27.64,Brazilian Temperature
1970-01-01 00:00:00,27.23,Brazilian Temperature
1971-01-01 00:00:00,26.28,Brazilian Temperature
1972-01-01 00:00:00,26.6,Brazilian Temperature
1973-01-01 00:00:00,27.99,Brazilian Temperature
1974-01-01 00:00:00,27.16,Brazilian Temperature
1975-01-01 00:00:00,26.89,Brazilian Temperature
1976-01-01 00:00:00,26.23,Brazilian Temperature
1977-01-01 00:00:00,27.72,Brazilian Temperature
1978-01-01 00:00:00,27.32,Brazilian Temperature
1979-01-01 00:00:00,27.44,Brazilian Temperature
1980-01-01 00:00:00,999.9,Brazilian Temperature
1981-01-01 00:00:00,999.9,Brazilian Temperature
1982-01-01 00:00:00,999.9,Brazilian Temperature
1983-01-01 00:00:00,999.9,Brazilian Temperature
1984-01-01 00:00:00,27.04,Brazilian Temperature
1985-01-01 00:00:00,27.59,Brazilian Temperature
1986-01-01 00:00:00,27.43,Brazilian Temperature
1987-01-01 00:00:00,27.04,Brazilian Temperature
1988-01-01 00:00:00,27.35,Brazilian Temperature
1989-01-01 00:00:00,27.38,Brazilian Temperature
1990-01-01 00:00:00,27.65,Brazilian Temperature
1991-01-01 00:00:00,27.32,Brazilian Temperature
1992-01-01 00:00:00,28.79,Brazilian Temperature
1993-01-01 00:00:00,27.33,Brazilian Temperature
1994-01-01 00:00:00,27.02,Brazilian Temperature
1995-01-01 00:00:00,27.73,Brazilian Temperature
1996-01-01 00:00:00,27.1,Brazilian Temperature
1997-01-01 00:00:00,27.55,Brazilian Temperature
1998-01-01 00:00:00,999.9,Brazilian Temperature
1999-01-01 00:00:00,999.9,Brazilian Temperature
2000-01-01 00:00:00,999.9,Brazilian Temperature
2001-01-01 00:00:00,999.9,Brazilian Temperature
2002-01-01 00:00:00,28.35,Brazilian Temperature
2003-01-01 00:00:00,28.94,Brazilian Temperature
2004-01-01 00:00:00,28.74,Brazilian Temperature
2005-01-01 00:00:00,29.18,Brazilian Temperature
2006-01-01 00:00:00,28.54,Brazilian Temperature
2007-01-01 00:00:00,27.58,Brazilian Temperature
2008-01-01 00:00:00,27.56,Brazilian Temperature
2009-01-01 00:00:00,27.48,Brazilian Temperature
2010-01-01 00:00:00,999.9,Brazilian Temperature
2011-01-01 00:00:00,999.9,Brazilian Temperature
2012-01-01 00:00:00,999.9,Brazilian Temperature
2013-01-01 00:00:00,28.6,Brazilian Temperature
2014-01-01 00:00:00,28.45,Brazilian Temperature
2015-01-01 00:00:00,28.1,Brazilian Temperature
2016-01-01 00:00:00,30.1,Brazilian Temperature
2017-01-01 00:00:00,27.85,Brazilian Temperature
2018-01-01 00:00:00,28.05,Brazilian Temperature
2019-01-01 00:00:00,27.95,Brazilian Temperature
1910-02-01 00:00:00,26.99,Brazilian Temperature
1911-02-01 00:00:00,27.39,Brazilian Temperature
1912-02-01 00:00:00,28.79,Brazilian Temperature
1913-02-01 00:00:00,28.09,Brazilian Temperature
1914-02-01 00:00:00,27.69,Brazilian Temperature
1915-02-01 00:00:00,27.69,Brazilian Temperature
1916-02-01 00:00:00,26.89,Brazilian Temperature
1917-02-01 00:00:00,26.59,Brazilian Temperature
1918-02-01 00:00:00,26.29,Brazilian Temperature
1919-02-01 00:00:00,27.49,Brazilian Temperature
1920-02-01 00:00:00,26.69,Brazilian Temperature
1921-02-01 00:00:00,26.39,Brazilian Temperature
1922-02-01 00:00:00,26.19,Brazilian Temperature
1923-02-01 00:00:00,26.49,Brazilian Temperature
1924-02-01 00:00:00,27.69,Brazilian Temperature
1925-02-01 00:00:00,25.99,Brazilian Temperature
1926-02-01 00:00:00,27.49,Brazilian Temperature
1927-02-01 00:00:00,25.69,Brazilian Temperature
1928-02-01 00:00:00,25.89,Brazilian Temperature
1929-02-01 00:00:00,26.29,Brazilian Temperature
1930-02-01 00:00:00,25.89,Brazilian Temperature
1931-02-01 00:00:00,27.74,Brazilian Temperature
1932-02-01 00:00:00,27.14,Brazilian Temperature
1933-02-01 00:00:00,26.81,Brazilian Temperature
1934-02-01 00:00:00,26.05,Brazilian Temperature
1935-02-01 00:00:00,26.84,Brazilian Temperature
1936-02-01 00:00:00,27.59,Brazilian Temperature
1937-02-01 00:00:00,26.93,Brazilian Temperature
1938-02-01 00:00:00,26.87,Brazilian Temperature
1939-02-01 00:00:00,26.76,Brazilian Temperature
1940-02-01 00:00:00,27.41,Brazilian Temperature
1941-02-01 00:00:00,27.32,Brazilian Temperature
1942-02-01 00:00:00,27.16,Brazilian Temperature
1943-02-01 00:00:00,26.45,Brazilian Temperature
1944-02-01 00:00:00,25.95,Brazilian Temperature
1945-02-01 00:00:00,26.43,Brazilian Temperature
1946-02-01 00:00:00,26.48,Brazilian Temperature
1947-02-01 00:00:00,27.18,Brazilian Temperature
1948-02-01 00:00:00,27.02,Brazilian Temperature
1949-02-01 00:00:00,26.46,Brazilian Temperature
1950-02-01 00:00:00,26.4,Brazilian Temperature
1951-02-01 00:00:00,27.4,Brazilian Temperature
1952-02-01 00:00:00,27.39,Brazilian Temperature
1953-02-01 00:00:00,26.65,Brazilian Temperature
1954-02-01 00:00:00,26.94,Brazilian Temperature
1955-02-01 00:00:00,26.09,Brazilian Temperature
1956-02-01 00:00:00,26.58,Brazilian Temperature
1957-02-01 00:00:00,999.9,Brazilian Temperature
1958-02-01 00:00:00,999.9,Brazilian Temperature
1959-02-01 00:00:00,26.49,Brazilian Temperature
1960-02-01 00:00:00,999.9,Brazilian Temperature
1961-02-01 00:00:00,26.35,Brazilian Temperature
1962-02-01 00:00:00,26.73,Brazilian Temperature
1963-02-01 00:00:00,26.57,Brazilian Temperature
1964-02-01 00:00:00,27.63,Brazilian Temperature
1965-02-01 00:00:00,27.04,Brazilian Temperature
1966-02-01 00:00:00,27.61,Brazilian Temperature
