date,data,cols
1973-01-01 00:00:00,27.73,Brazilian Temperature
1974-01-01 00:00:00,26.68,Brazilian Temperature
1975-01-01 00:00:00,25.27,Brazilian Temperature
1976-01-01 00:00:00,27.48,Brazilian Temperature
1977-01-01 00:00:00,27.13,Brazilian Temperature
1978-01-01 00:00:00,27.44,Brazilian Temperature
1979-01-01 00:00:00,23.86,Brazilian Temperature
1980-01-01 00:00:00,25.39,Brazilian Temperature
1981-01-01 00:00:00,27.42,Brazilian Temperature
1982-01-01 00:00:00,24.55,Brazilian Temperature
1983-01-01 00:00:00,26.81,Brazilian Temperature
1984-01-01 00:00:00,28.56,Brazilian Temperature
1985-01-01 00:00:00,25.53,Brazilian Temperature
1986-01-01 00:00:00,999.9,Brazilian Temperature
1987-01-01 00:00:00,27.68,Brazilian Temperature
1988-01-01 00:00:00,28.82,Brazilian Temperature
1989-01-01 00:00:00,26.98,Brazilian Temperature
1990-01-01 00:00:00,28.63,Brazilian Temperature
1991-01-01 00:00:00,25.44,Brazilian Temperature
1992-01-01 00:00:00,27.37,Brazilian Temperature
1993-01-01 00:00:00,27.48,Brazilian Temperature
1994-01-01 00:00:00,999.9,Brazilian Temperature
1995-01-01 00:00:00,28.64,Brazilian Temperature
1996-01-01 00:00:00,28.48,Brazilian Temperature
1997-01-01 00:00:00,26.52,Brazilian Temperature
1998-01-01 00:00:00,28.57,Brazilian Temperature
1999-01-01 00:00:00,27.83,Brazilian Temperature
2000-01-01 00:00:00,27.08,Brazilian Temperature
2001-01-01 00:00:00,28.25,Brazilian Temperature
2002-01-01 00:00:00,27.04,Brazilian Temperature
2003-01-01 00:00:00,26.94,Brazilian Temperature
2004-01-01 00:00:00,999.9,Brazilian Temperature
2005-01-01 00:00:00,26.75,Brazilian Temperature
2006-01-01 00:00:00,27.62,Brazilian Temperature
2007-01-01 00:00:00,999.9,Brazilian Temperature
2008-01-01 00:00:00,26.25,Brazilian Temperature
2009-01-01 00:00:00,26.32,Brazilian Temperature
2010-01-01 00:00:00,28.58,Brazilian Temperature
2011-01-01 00:00:00,28.14,Brazilian Temperature
2012-01-01 00:00:00,25.87,Brazilian Temperature
2013-01-01 00:00:00,26.13,Brazilian Temperature
2014-01-01 00:00:00,28.99,Brazilian Temperature
2015-01-01 00:00:00,29.93,Brazilian Temperature
2016-01-01 00:00:00,27.08,Brazilian Temperature
2017-01-01 00:00:00,28.92,Brazilian Temperature
2018-01-01 00:00:00,28.06,Brazilian Temperature
2019-01-01 00:00:00,30.25,Brazilian Temperature
1973-02-01 00:00:00,27.97,Brazilian Temperature
1974-02-01 00:00:00,27.16,Brazilian Temperature
1975-02-01 00:00:00,26.92,Brazilian Temperature
1976-02-01 00:00:00,26.2,Brazilian Temperature
1977-02-01 00:00:00,28.51,Brazilian Temperature
1978-02-01 00:00:00,26.55,Brazilian Temperature
1979-02-01 00:00:00,25.69,Brazilian Temperature
1980-02-01 00:00:00,27.24,Brazilian Temperature
1981-02-01 00:00:00,28.06,Brazilian Temperature
1982-02-01 00:00:00,27.51,Brazilian Temperature
1983-02-01 00:00:00,27.63,Brazilian Temperature
1984-02-01 00:00:00,28.85,Brazilian Temperature
1985-02-01 00:00:00,999.9,Brazilian Temperature
1986-02-01 00:00:00,27.93,Brazilian Temperature
1987-02-01 00:00:00,27.25,Brazilian Temperature
1988-02-01 00:00:00,26.03,Brazilian Temperature
1989-02-01 00:00:00,26.59,Brazilian Temperature
1990-02-01 00:00:00,27.47,Brazilian Temperature
