date,data,cols
1979-01-01 00:00:00,999.9,Brazilian Temperature
1980-01-01 00:00:00,27.75,Brazilian Temperature
1981-01-01 00:00:00,27.58,Brazilian Temperature
1982-01-01 00:00:00,27.3,Brazilian Temperature
1983-01-01 00:00:00,28.63,Brazilian Temperature
1984-01-01 00:00:00,27.05,Brazilian Temperature
1985-01-01 00:00:00,26.87,Brazilian Temperature
1986-01-01 00:00:00,27.1,Brazilian Temperature
1987-01-01 00:00:00,28.02,Brazilian Temperature
1988-01-01 00:00:00,27.82,Brazilian Temperature
1989-01-01 00:00:00,27.21,Brazilian Temperature
1990-01-01 00:00:00,27.6,Brazilian Temperature
1991-01-01 00:00:00,27.3,Brazilian Temperature
1992-01-01 00:00:00,28.09,Brazilian Temperature
1993-01-01 00:00:00,27.98,Brazilian Temperature
1994-01-01 00:00:00,999.9,Brazilian Temperature
1995-01-01 00:00:00,28.07,Brazilian Temperature
1996-01-01 00:00:00,27.56,Brazilian Temperature
1997-01-01 00:00:00,28.26,Brazilian Temperature
1998-01-01 00:00:00,28.35,Brazilian Temperature
1999-01-01 00:00:00,27.94,Brazilian Temperature
2000-01-01 00:00:00,27.13,Brazilian Temperature
2001-01-01 00:00:00,999.9,Brazilian Temperature
2002-01-01 00:00:00,999.9,Brazilian Temperature
2003-01-01 00:00:00,28.12,Brazilian Temperature
2004-01-01 00:00:00,27.72,Brazilian Temperature
2005-01-01 00:00:00,29.28,Brazilian Temperature
2006-01-01 00:00:00,28.23,Brazilian Temperature
2007-01-01 00:00:00,999.9,Brazilian Temperature
2008-01-01 00:00:00,999.9,Brazilian Temperature
2009-01-01 00:00:00,999.9,Brazilian Temperature
2010-01-01 00:00:00,28.31,Brazilian Temperature
2011-01-01 00:00:00,27.1,Brazilian Temperature
2012-01-01 00:00:00,28.4,Brazilian Temperature
2013-01-01 00:00:00,29.0,Brazilian Temperature
2014-01-01 00:00:00,999.9,Brazilian Temperature
2015-01-01 00:00:00,28.8,Brazilian Temperature
2016-01-01 00:00:00,999.9,Brazilian Temperature
