date,data,cols
1946-01-01 00:00:00,999.9,Brazilian Temperature
1947-01-01 00:00:00,999.9,Brazilian Temperature
1948-01-01 00:00:00,23.64,Brazilian Temperature
1949-01-01 00:00:00,22.34,Brazilian Temperature
1950-01-01 00:00:00,22.14,Brazilian Temperature
1951-01-01 00:00:00,22.04,Brazilian Temperature
1952-01-01 00:00:00,22.64,Brazilian Temperature
1953-01-01 00:00:00,23.74,Brazilian Temperature
1954-01-01 00:00:00,24.24,Brazilian Temperature
1955-01-01 00:00:00,22.84,Brazilian Temperature
1956-01-01 00:00:00,25.74,Brazilian Temperature
1957-01-01 00:00:00,23.34,Brazilian Temperature
1958-01-01 00:00:00,23.94,Brazilian Temperature
1959-01-01 00:00:00,23.74,Brazilian Temperature
1960-01-01 00:00:00,22.34,Brazilian Temperature
1961-01-01 00:00:00,999.9,Brazilian Temperature
1962-01-01 00:00:00,999.9,Brazilian Temperature
1963-01-01 00:00:00,24.02,Brazilian Temperature
1964-01-01 00:00:00,22.42,Brazilian Temperature
1965-01-01 00:00:00,21.47,Brazilian Temperature
1966-01-01 00:00:00,23.66,Brazilian Temperature
1967-01-01 00:00:00,22.65,Brazilian Temperature
1968-01-01 00:00:00,22.48,Brazilian Temperature
1969-01-01 00:00:00,24.54,Brazilian Temperature
1970-01-01 00:00:00,22.79,Brazilian Temperature
1971-01-01 00:00:00,24.95,Brazilian Temperature
1972-01-01 00:00:00,23.33,Brazilian Temperature
1973-01-01 00:00:00,24.51,Brazilian Temperature
1974-01-01 00:00:00,23.22,Brazilian Temperature
1975-01-01 00:00:00,22.74,Brazilian Temperature
1976-01-01 00:00:00,24.06,Brazilian Temperature
1977-01-01 00:00:00,23.57,Brazilian Temperature
1978-01-01 00:00:00,24.34,Brazilian Temperature
1979-01-01 00:00:00,20.78,Brazilian Temperature
1980-01-01 00:00:00,22.54,Brazilian Temperature
1981-01-01 00:00:00,999.9,Brazilian Temperature
1982-01-01 00:00:00,21.69,Brazilian Temperature
1983-01-01 00:00:00,23.02,Brazilian Temperature
1984-01-01 00:00:00,25.13,Brazilian Temperature
1985-01-01 00:00:00,21.9,Brazilian Temperature
1986-01-01 00:00:00,24.84,Brazilian Temperature
1987-01-01 00:00:00,24.28,Brazilian Temperature
1988-01-01 00:00:00,25.26,Brazilian Temperature
1989-01-01 00:00:00,23.84,Brazilian Temperature
1990-01-01 00:00:00,25.02,Brazilian Temperature
1991-01-01 00:00:00,23.3,Brazilian Temperature
1992-01-01 00:00:00,23.53,Brazilian Temperature
1993-01-01 00:00:00,24.16,Brazilian Temperature
1994-01-01 00:00:00,22.71,Brazilian Temperature
1995-01-01 00:00:00,25.14,Brazilian Temperature
1996-01-01 00:00:00,24.9,Brazilian Temperature
1997-01-01 00:00:00,23.73,Brazilian Temperature
1998-01-01 00:00:00,25.76,Brazilian Temperature
1999-01-01 00:00:00,25.48,Brazilian Temperature
2000-01-01 00:00:00,23.67,Brazilian Temperature
2001-01-01 00:00:00,25.27,Brazilian Temperature
2002-01-01 00:00:00,23.78,Brazilian Temperature
2003-01-01 00:00:00,23.58,Brazilian Temperature
2004-01-01 00:00:00,22.7,Brazilian Temperature
2005-01-01 00:00:00,23.47,Brazilian Temperature
2006-01-01 00:00:00,24.86,Brazilian Temperature
2007-01-01 00:00:00,23.67,Brazilian Temperature
2008-01-01 00:00:00,22.61,Brazilian Temperature
2009-01-01 00:00:00,23.11,Brazilian Temperature
2010-01-01 00:00:00,24.43,Brazilian Temperature
2011-01-01 00:00:00,24.93,Brazilian Temperature
2012-01-01 00:00:00,22.48,Brazilian Temperature
2013-01-01 00:00:00,23.0,Brazilian Temperature
2014-01-01 00:00:00,26.09,Brazilian Temperature
2015-01-01 00:00:00,26.35,Brazilian Temperature
2016-01-01 00:00:00,23.6,Brazilian Temperature
2017-01-01 00:00:00,23.85,Brazilian Temperature
2018-01-01 00:00:00,23.9,Brazilian Temperature
2019-01-01 00:00:00,26.55,Brazilian Temperature
1946-02-01 00:00:00,999.9,Brazilian Temperature
1947-02-01 00:00:00,23.54,Brazilian Temperature
1948-02-01 00:00:00,22.94,Brazilian Temperature
1949-02-01 00:00:00,21.54,Brazilian Temperature
1950-02-01 00:00:00,22.44,Brazilian Temperature
1951-02-01 00:00:00,22.74,Brazilian Temperature
1952-02-01 00:00:00,999.9,Brazilian Temperature
1953-02-01 00:00:00,22.64,Brazilian Temperature
1954-02-01 00:00:00,23.64,Brazilian Temperature
1955-02-01 00:00:00,23.84,Brazilian Temperature
1956-02-01 00:00:00,23.34,Brazilian Temperature
1957-02-01 00:00:00,22.24,Brazilian Temperature
1958-02-01 00:00:00,24.44,Brazilian Temperature
1959-02-01 00:00:00,24.14,Brazilian Temperature
1960-02-01 00:00:00,22.34,Brazilian Temperature
1961-02-01 00:00:00,999.9,Brazilian Temperature
1962-02-01 00:00:00,999.9,Brazilian Temperature
1963-02-01 00:00:00,22.75,Brazilian Temperature
1964-02-01 00:00:00,22.73,Brazilian Temperature
1965-02-01 00:00:00,22.73,Brazilian Temperature
1966-02-01 00:00:00,24.95,Brazilian Temperature
1967-02-01 00:00:00,23.58,Brazilian Temperature
1968-02-01 00:00:00,21.84,Brazilian Temperature
1969-02-01 00:00:00,24.26,Brazilian Temperature
1970-02-01 00:00:00,23.35,Brazilian Temperature
1971-02-01 00:00:00,24.86,Brazilian Temperature
1972-02-01 00:00:00,22.84,Brazilian Temperature
1973-02-01 00:00:00,25.18,Brazilian Temperature
1974-02-01 00:00:00,24.54,Brazilian Temperature
1975-02-01 00:00:00,24.16,Brazilian Temperature
1976-02-01 00:00:00,22.38,Brazilian Temperature
1977-02-01 00:00:00,25.54,Brazilian Temperature
1978-02-01 00:00:00,23.59,Brazilian Temperature
1979-02-01 00:00:00,23.42,Brazilian Temperature
1980-02-01 00:00:00,23.54,Brazilian Temperature
1981-02-01 00:00:00,24.97,Brazilian Temperature
1982-02-01 00:00:00,999.9,Brazilian Temperature
1983-02-01 00:00:00,23.62,Brazilian Temperature
1984-02-01 00:00:00,26.4,Brazilian Temperature
1985-02-01 00:00:00,24.37,Brazilian Temperature
1986-02-01 00:00:00,24.09,Brazilian Temperature
1987-02-01 00:00:00,24.01,Brazilian Temperature
1988-02-01 00:00:00,22.82,Brazilian Temperature
1989-02-01 00:00:00,24.05,Brazilian Temperature
1990-02-01 00:00:00,24.48,Brazilian Temperature
1991-02-01 00:00:00,23.22,Brazilian Temperature
1992-02-01 00:00:00,24.4,Brazilian Temperature
1993-02-01 00:00:00,22.94,Brazilian Temperature
1994-02-01 00:00:00,25.38,Brazilian Temperature
1995-02-01 00:00:00,24.09,Brazilian Temperature
1996-02-01 00:00:00,24.47,Brazilian Temperature
1997-02-01 00:00:00,24.46,Brazilian Temperature
1998-02-01 00:00:00,24.95,Brazilian Temperature
1999-02-01 00:00:00,25.5,Brazilian Temperature
2000-02-01 00:00:00,23.37,Brazilian Temperature
2001-02-01 00:00:00,25.27,Brazilian Temperature
2002-02-01 00:00:00,22.91,Brazilian Temperature
2003-02-01 00:00:00,26.57,Brazilian Temperature
2004-02-01 00:00:00,22.59,Brazilian Temperature
2005-02-01 00:00:00,23.3,Brazilian Temperature
2006-02-01 00:00:00,24.52,Brazilian Temperature
2007-02-01 00:00:00,24.75,Brazilian Temperature
2008-02-01 00:00:00,23.7,Brazilian Temperature
2009-02-01 00:00:00,24.67,Brazilian Temperature
2010-02-01 00:00:00,25.75,Brazilian Temperature
2011-02-01 00:00:00,25.38,Brazilian Temperature
2012-02-01 00:00:00,25.41,Brazilian Temperature
2013-02-01 00:00:00,24.4,Brazilian Temperature
2014-02-01 00:00:00,26.6,Brazilian Temperature
2015-02-01 00:00:00,24.6,Brazilian Temperature
2016-02-01 00:00:00,25.3,Brazilian Temperature
2017-02-01 00:00:00,25.0,Brazilian Temperature
2018-02-01 00:00:00,23.25,Brazilian Temperature
2019-02-01 00:00:00,24.15,Brazilian Temperature
1946-03-01 00:00:00,999.9,Brazilian Temperature
1947-03-01 00:00:00,21.04,Brazilian Temperature
1948-03-01 00:00:00,20.74,Brazilian Temperature
1949-03-01 00:00:00,23.54,Brazilian Temperature
1950-03-01 00:00:00,22.24,Brazilian Temperature
1951-03-01 00:00:00,21.84,Brazilian Temperature
1952-03-01 00:00:00,23.34,Brazilian Temperature
1953-03-01 00:00:00,22.94,Brazilian Temperature
1954-03-01 00:00:00,22.94,Brazilian Temperature
1955-03-01 00:00:00,22.54,Brazilian Temperature
1956-03-01 00:00:00,22.24,Brazilian Temperature
1957-03-01 00:00:00,22.44,Brazilian Temperature
1958-03-01 00:00:00,22.14,Brazilian Temperature
1959-03-01 00:00:00,22.04,Brazilian Temperature
1960-03-01 00:00:00,22.24,Brazilian Temperature
1961-03-01 00:00:00,999.9,Brazilian Temperature
1962-03-01 00:00:00,999.9,Brazilian Temperature
