date,data,cols
2021-04-30 00:00:00,8864,gasoline
2021-04-23 00:00:00,8877,gasoline
2021-04-16 00:00:00,9104,gasoline
2021-04-09 00:00:00,8944,gasoline
2021-04-02 00:00:00,8781,gasoline
2021-03-26 00:00:00,8891,gasoline
2021-03-19 00:00:00,8616,gasoline
2021-03-12 00:00:00,8442,gasoline
2021-03-05 00:00:00,8726,gasoline
2021-02-26 00:00:00,8148,gasoline
2021-02-19 00:00:00,7207,gasoline
2021-02-12 00:00:00,8407,gasoline
2021-02-05 00:00:00,7857,gasoline
2021-01-29 00:00:00,7770,gasoline
2021-01-22 00:00:00,7833,gasoline
2021-01-15 00:00:00,8112,gasoline
2021-01-08 00:00:00,7532,gasoline
2021-01-01 00:00:00,7441,gasoline
2020-12-25 00:00:00,8128,gasoline
2020-12-18 00:00:00,8022,gasoline
2020-12-11 00:00:00,7975,gasoline
2020-12-04 00:00:00,7600,gasoline
2020-11-27 00:00:00,7973,gasoline
2020-11-20 00:00:00,8129,gasoline
2020-11-13 00:00:00,8258,gasoline
2020-11-06 00:00:00,8762,gasoline
2020-10-30 00:00:00,8336,gasoline
2020-10-23 00:00:00,8545,gasoline
2020-10-16 00:00:00,8289,gasoline
2020-10-09 00:00:00,8576,gasoline
2020-10-02 00:00:00,8896,gasoline
2020-09-25 00:00:00,8529,gasoline
2020-09-18 00:00:00,8515,gasoline
2020-09-11 00:00:00,8478,gasoline
2020-09-04 00:00:00,8390,gasoline
2020-08-28 00:00:00,8786,gasoline
2020-08-21 00:00:00,9161,gasoline
2020-08-14 00:00:00,8630,gasoline
2020-08-07 00:00:00,8883,gasoline
2020-07-31 00:00:00,8617,gasoline
2020-07-24 00:00:00,8809,gasoline
2020-07-17 00:00:00,8550,gasoline
2020-07-10 00:00:00,8648,gasoline
2020-07-03 00:00:00,8766,gasoline
2020-06-26 00:00:00,8561,gasoline
2020-06-19 00:00:00,8608,gasoline
2020-06-12 00:00:00,7870,gasoline
2020-06-05 00:00:00,7900,gasoline
2020-05-29 00:00:00,7549,gasoline
2020-05-22 00:00:00,7253,gasoline
2020-05-15 00:00:00,6790,gasoline
2020-05-08 00:00:00,7398,gasoline
2020-05-01 00:00:00,6664,gasoline
2020-04-24 00:00:00,5860,gasoline
2020-04-17 00:00:00,5311,gasoline
2020-04-10 00:00:00,5081,gasoline
2020-04-03 00:00:00,5065,gasoline
2020-03-27 00:00:00,6659,gasoline
2020-03-20 00:00:00,8837,gasoline
2020-03-13 00:00:00,9696,gasoline
2020-03-06 00:00:00,9449,gasoline
2020-02-28 00:00:00,9186,gasoline
2020-02-21 00:00:00,9035,gasoline
2020-02-14 00:00:00,8918,gasoline
2020-02-07 00:00:00,8722,gasoline
2020-01-31 00:00:00,8933,gasoline
2020-01-24 00:00:00,8793,gasoline
2020-01-17 00:00:00,8662,gasoline
2020-01-10 00:00:00,8558,gasoline
2020-01-03 00:00:00,8133,gasoline
2019-12-27 00:00:00,8961,gasoline
2019-12-20 00:00:00,9303,gasoline
2019-12-13 00:00:00,9411,gasoline
2019-12-06 00:00:00,8882,gasoline
2019-11-29 00:00:00,9032,gasoline
2019-11-22 00:00:00,9204,gasoline
2019-11-15 00:00:00,9192,gasoline
2019-11-08 00:00:00,9321,gasoline
2019-11-01 00:00:00,9145,gasoline
2019-10-25 00:00:00,9784,gasoline
2019-10-18 00:00:00,9590,gasoline
2019-10-11 00:00:00,9354,gasoline
2019-10-04 00:00:00,9460,gasoline
2019-09-27 00:00:00,9137,gasoline
2019-09-20 00:00:00,9346,gasoline
2019-09-13 00:00:00,8939,gasoline
2019-09-06 00:00:00,9807,gasoline
2019-08-30 00:00:00,9471,gasoline
2019-08-23 00:00:00,9900,gasoline
2019-08-16 00:00:00,9626,gasoline
2019-08-09 00:00:00,9932,gasoline
2019-08-02 00:00:00,9651,gasoline
2019-07-26 00:00:00,9559,gasoline
2019-07-19 00:00:00,9673,gasoline
2019-07-12 00:00:00,9214,gasoline
2019-07-05 00:00:00,9754,gasoline
2019-06-28 00:00:00,9492,gasoline
2019-06-21 00:00:00,9466,gasoline
2019-06-14 00:00:00,9928,gasoline
2019-06-07 00:00:00,9877,gasoline
2019-05-31 00:00:00,9441,gasoline
2019-05-24 00:00:00,9394,gasoline
2019-05-17 00:00:00,9429,gasoline
2019-05-10 00:00:00,9148,gasoline
2019-05-03 00:00:00,9871,gasoline
2019-04-26 00:00:00,9228,gasoline
2019-04-19 00:00:00,9409,gasoline
2019-04-12 00:00:00,9420,gasoline
2019-04-05 00:00:00,9806,gasoline
2019-03-29 00:00:00,9131,gasoline
2019-03-22 00:00:00,9124,gasoline
2019-03-15 00:00:00,9409,gasoline
2019-03-08 00:00:00,9140,gasoline
2019-03-01 00:00:00,9062,gasoline
2019-02-22 00:00:00,8981,gasoline
2019-02-15 00:00:00,8800,gasoline
2019-02-08 00:00:00,8648,gasoline
2019-02-01 00:00:00,9073,gasoline
2019-01-25 00:00:00,9564,gasoline
2019-01-18 00:00:00,8868,gasoline
2019-01-11 00:00:00,8565,gasoline
2019-01-04 00:00:00,8735,gasoline
2018-12-28 00:00:00,8623,gasoline
2018-12-21 00:00:00,9348,gasoline
2018-12-14 00:00:00,9243,gasoline
2018-12-07 00:00:00,9036,gasoline
2018-11-30 00:00:00,8877,gasoline
2018-11-23 00:00:00,9188,gasoline
2018-11-16 00:00:00,9185,gasoline
2018-11-09 00:00:00,9192,gasoline
2018-11-02 00:00:00,9099,gasoline
2018-10-26 00:00:00,9262,gasoline
2018-10-19 00:00:00,9324,gasoline
2018-10-12 00:00:00,9182,gasoline
2018-10-05 00:00:00,9078,gasoline
2018-09-28 00:00:00,9102,gasoline
2018-09-21 00:00:00,8987,gasoline
2018-09-14 00:00:00,9534,gasoline
2018-09-07 00:00:00,9649,gasoline
2018-08-31 00:00:00,9734,gasoline
2018-08-24 00:00:00,9899,gasoline
2018-08-17 00:00:00,9453,gasoline
2018-08-10 00:00:00,9512,gasoline
2018-08-03 00:00:00,9346,gasoline
2018-07-27 00:00:00,9878,gasoline
2018-07-20 00:00:00,9846,gasoline
2018-07-13 00:00:00,9708,gasoline
2018-07-06 00:00:00,9275,gasoline
2018-06-29 00:00:00,9869,gasoline
2018-06-22 00:00:00,9731,gasoline
2018-06-15 00:00:00,9326,gasoline
2018-06-08 00:00:00,9879,gasoline
2018-06-01 00:00:00,8976,gasoline
2018-05-25 00:00:00,9689,gasoline
2018-05-18 00:00:00,9689,gasoline
2018-05-11 00:00:00,9531,gasoline
2018-05-04 00:00:00,9775,gasoline
2018-04-27 00:00:00,9090,gasoline
2018-04-20 00:00:00,9083,gasoline
2018-04-13 00:00:00,9857,gasoline
2018-04-06 00:00:00,9273,gasoline
2018-03-30 00:00:00,9203,gasoline
2018-03-23 00:00:00,9208,gasoline
2018-03-16 00:00:00,9324,gasoline
2018-03-09 00:00:00,9642,gasoline
2018-03-02 00:00:00,9276,gasoline
2018-02-23 00:00:00,8860,gasoline
2018-02-16 00:00:00,9002,gasoline
2018-02-09 00:00:00,9059,gasoline
2018-02-02 00:00:00,9110,gasoline
2018-01-26 00:00:00,9044,gasoline
2018-01-19 00:00:00,8697,gasoline
2018-01-12 00:00:00,8668,gasoline
2018-01-05 00:00:00,8814,gasoline
2017-12-29 00:00:00,8650,gasoline
2017-12-22 00:00:00,9485,gasoline
2017-12-15 00:00:00,9426,gasoline
2017-12-08 00:00:00,9091,gasoline
2017-12-01 00:00:00,8895,gasoline
2017-11-24 00:00:00,8724,gasoline
2017-11-17 00:00:00,9595,gasoline
2017-11-10 00:00:00,9172,gasoline
2017-11-03 00:00:00,9496,gasoline
2017-10-27 00:00:00,9461,gasoline
2017-10-20 00:00:00,9314,gasoline
2017-10-13 00:00:00,9136,gasoline
2017-10-06 00:00:00,9480,gasoline
2017-09-29 00:00:00,9241,gasoline
2017-09-22 00:00:00,9522,gasoline
2017-09-15 00:00:00,9441,gasoline
2017-09-08 00:00:00,9619,gasoline
2017-09-01 00:00:00,9163,gasoline
2017-08-25 00:00:00,9846,gasoline
2017-08-18 00:00:00,9629,gasoline
2017-08-11 00:00:00,9522,gasoline
2017-08-04 00:00:00,9797,gasoline
2017-07-28 00:00:00,9842,gasoline
2017-07-21 00:00:00,9821,gasoline
2017-07-14 00:00:00,9592,gasoline
2017-07-07 00:00:00,9786,gasoline
2017-06-30 00:00:00,9705,gasoline
2017-06-23 00:00:00,9538,gasoline
2017-06-16 00:00:00,9816,gasoline
2017-06-09 00:00:00,9269,gasoline
2017-06-02 00:00:00,9317,gasoline
2017-05-26 00:00:00,9822,gasoline
2017-05-19 00:00:00,9704,gasoline
2017-05-12 00:00:00,9452,gasoline
2017-05-05 00:00:00,9408,gasoline
2017-04-28 00:00:00,9156,gasoline
2017-04-21 00:00:00,9206,gasoline
2017-04-14 00:00:00,9223,gasoline
2017-04-07 00:00:00,9275,gasoline
2017-03-31 00:00:00,9245,gasoline
2017-03-24 00:00:00,9524,gasoline
2017-03-17 00:00:00,9200,gasoline
2017-03-10 00:00:00,9254,gasoline
2017-03-03 00:00:00,9268,gasoline
2017-02-24 00:00:00,8686,gasoline
2017-02-17 00:00:00,8663,gasoline
2017-02-10 00:00:00,8433,gasoline
2017-02-03 00:00:00,8941,gasoline
2017-01-27 00:00:00,8310,gasoline
2017-01-20 00:00:00,8039,gasoline
2017-01-13 00:00:00,8069,gasoline
2017-01-06 00:00:00,8470,gasoline
2016-12-30 00:00:00,8465,gasoline
2016-12-23 00:00:00,9278,gasoline
2016-12-16 00:00:00,9269,gasoline
2016-12-09 00:00:00,8874,gasoline
2016-12-02 00:00:00,8757,gasoline
2016-11-25 00:00:00,9080,gasoline
2016-11-18 00:00:00,9024,gasoline
2016-11-11 00:00:00,9359,gasoline
2016-11-04 00:00:00,9213,gasoline
2016-10-28 00:00:00,9183,gasoline
2016-10-21 00:00:00,9118,gasoline
2016-10-14 00:00:00,8798,gasoline
2016-10-07 00:00:00,9264,gasoline
2016-09-30 00:00:00,9390,gasoline
2016-09-23 00:00:00,8880,gasoline
2016-09-16 00:00:00,9650,gasoline
2016-09-09 00:00:00,9406,gasoline
2016-09-02 00:00:00,9595,gasoline
2016-08-26 00:00:00,9511,gasoline
2016-08-19 00:00:00,9659,gasoline
2016-08-12 00:00:00,9762,gasoline
2016-08-05 00:00:00,9769,gasoline
2016-07-29 00:00:00,9752,gasoline
2016-07-22 00:00:00,9797,gasoline
2016-07-15 00:00:00,9785,gasoline
2016-07-08 00:00:00,9671,gasoline
2016-07-01 00:00:00,9755,gasoline
2016-06-24 00:00:00,9709,gasoline
2016-06-17 00:00:00,9815,gasoline
2016-06-10 00:00:00,9762,gasoline
2016-06-03 00:00:00,9568,gasoline
2016-05-27 00:00:00,9716,gasoline
2016-05-20 00:00:00,9516,gasoline
2016-05-13 00:00:00,9755,gasoline
2016-05-06 00:00:00,9658,gasoline
2016-04-29 00:00:00,9502,gasoline
2016-04-22 00:00:00,9315,gasoline
2016-04-15 00:00:00,9444,gasoline
2016-04-08 00:00:00,9633,gasoline
2016-04-01 00:00:00,9224,gasoline
2016-03-25 00:00:00,9244,gasoline
2016-03-18 00:00:00,9503,gasoline
2016-03-11 00:00:00,9458,gasoline
2016-03-04 00:00:00,9411,gasoline
2016-02-26 00:00:00,9121,gasoline
2016-02-19 00:00:00,9576,gasoline
2016-02-12 00:00:00,9203,gasoline
2016-02-05 00:00:00,9122,gasoline
2016-01-29 00:00:00,8341,gasoline
2016-01-22 00:00:00,8941,gasoline
2016-01-15 00:00:00,9079,gasoline
2016-01-08 00:00:00,8500,gasoline
2016-01-01 00:00:00,8159,gasoline
2015-12-25 00:00:00,9395,gasoline
2015-12-18 00:00:00,9185,gasoline
2015-12-11 00:00:00,9220,gasoline
2015-12-04 00:00:00,9420,gasoline
2015-11-27 00:00:00,9281,gasoline
2015-11-20 00:00:00,8921,gasoline
2015-11-13 00:00:00,9054,gasoline
2015-11-06 00:00:00,9388,gasoline
2015-10-30 00:00:00,9184,gasoline
2015-10-23 00:00:00,9343,gasoline
2015-10-16 00:00:00,9157,gasoline
2015-10-09 00:00:00,9137,gasoline
2015-10-02 00:00:00,8958,gasoline
